Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
Duval	,	il	poeta	,	era	uno	dei	più	sinceri	.																														
B	I	I	I	O	O	O	O	O	O	O																														
This	even	includes	the	way	that	they	eat	.																																
O	O	O	O	O	O	O	O	O																																
Questo	include	anche	il	modo	in	cui	mangiano	.																																
O	O	O	O	O	O	O	O	O																																
Jesse	James	is	among	the	visitors	who	stayed	there	.																															
B	I	O	O	O	O	O	O	O	O																															
Jesse	James	è	tra	i	visitatori	che	sono	rimasti	lì	.																														
B	I	O	O	O	O	O	O	O	O	O																														
William	’s	moment	of	decision	had	at	last	arrived	.																															
O	O	B	I	I	O	O	O	O	O																															
Il	momento	della	decisione	di	William	era	finalmente	arrivato	.																															
O	B	I	I	O	O	O	O	O	O																															
At	the	time	,	CP	violation	had	not	yet	been	observed	.																													
O	O	O	O	B	I	O	O	O	O	O	O																													
Al	momento	,	la	violazione	CP	non	era	ancora	stata	osservata	.																													
O	O	O	O	B	I	O	O	O	O	O	O																													
Today	some	physicists	want	to	adopt	a	new	convention	.																															
O	O	O	O	O	O	O	B	I	O																															
Oggi	alcuni	fisici	vogliono	adottare	una	nuova	convenzione	.																																
O	O	O	O	O	O	B	I	O																																
Oxford	appeared	to	be	oblivious	for	most	of	the	proceedings	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Oxford	sembrava	essere	ignaro	per	la	maggior	parte	procedimenti	.																															
O	O	O	O	O	O	O	O	O	O																															
The	time	of	peaceful	negotiations	has	ended	—	negotiations	can	not	be	held	with	terrorists	and	extremists	!																							
O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Il	tempo	dei	negoziati	di	pace	è	finito	-	I	negoziati	non	possono	essere	tenuti	con	i	terroristi	e	gli	estremisti	!																			
O	O	O	B	I	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																			
Tim	Haines	attributed	this	to	solid	planning	.																																	
B	I	O	O	O	B	I	O																																	
Tim	Haines	ha	attribuito	questo	alla	solida	pianificazione	.																																
B	I	O	O	O	O	B	I	O																																
The	same	applies	to	amendments	affecting	the	provincial	government	alone	.																														
O	O	O	O	O	O	O	B	I	O	O																														
Lo	stesso	si	applica	agli	emendamenti	che	riguardano	solo	il	governo	provinciale	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
When	this	failed	,	they	besieged	the	town	for	ten	days	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Fallito	l'	assalto	,	assediarono	la	città	per	dieci	giorni	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Furthermore	,	Article	81	states	that	Judges	shall	hold	office	for	life	.																												
O	O	B	I	O	O	O	O	O	O	O	O	O																												
Inoltre	,	l'	articolo	81	stabilisce	che	i	giudici	hanno	la	carica	a	vita	.																										
O	O	O	B	I	O	O	O	O	O	O	O	O	O	O																										
It	is	,	however	,	not	as	popular	as	the	Meizhou	temple	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
Non	è	,	tuttavia	,	così	popolare	come	il	tempio	di	Meizhou	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
He	was	in	the	process	of	revising	the	Portuguese	law	code	when	he	died	.																										
O	O	O	O	O	O	O	O	B	I	I	O	O	O	O																										
Stava	revisionando	il	codice	legale	portoghese	quando	morì	.																																
O	O	O	B	I	I	O	O	O																																
Yet	,	Democrats	and	Republicans	are	not	everywhere	the	same	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Tuttavia	,	Democratici	e	Repubblicani	non	sono	sempre	uguali	ovunque	.																														
O	O	O	O	O	O	O	O	O	O	O																														
        Only	in	the	Amazon	rainforest	,	we	’re	losing	2000	trees	a	minute	.																											
O	O	O	B	I	O	O	O	O	O	O	O	O	O																											
        Solo           	nella	foresta	amazzonica	,	stiamo	perdendo	2000	alberi	ogni	minuto	.																													
O	O	B	I	O	O	O	O	O	O	O	O																													
Due	to	this	freedom	,	a	great	deal	of	their	work	tends	to	be	illegal	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
A	causa	di	questa	libertà	,	gran	parte	del	loro	lavoro	tende	ad	essere	illegale	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
And	it	is	not	appropriate	for	the	Most	Merciful	that	He	should	take	a	son	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Sembrerebbe	che	egli	non	abbia	avuto	nessun	peso	nel	favorire	l	 '	ascesa	al	trono	del	figlio	.																							
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O																							
It	is	unclear	how	much	the	civilian	members	of	the	Yugoslav	government	were	involved	in	the	decision	to	resort	to	force	in	Slovenia	.																	
O	O	O	O	O	O	B	I	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O																	
Non	è	chiaro	quanti	membri	civili	del	governo	jugoslavo	fossero	coinvolti	nella	decisione	di	ricorrere	alla	forza	in 	Slovenia	.																					
O	O	O	O	B	I	O	B	I	O	O	O	O	O	O	O	O	O	O	O																					
Two	others	completely	retained	traditional	prohibitions	.																																		
O	O	O	O	B	I	O																																		
Altre	due	hanno	invece	interamente	mantenuto	i	divieti	tradizionali	.																															
O	O	O	O	O	O	O	B	I	O																															
Cambodian	pilots	and	technicians	were	in	training	in	the	Soviet	Union	;	some	already	had	returned	home	.																							
B	I	I	I	O	O	O	O	O	B	I	O	O	O	O	O	O	O																							
I	piloti	e	i	tecnici	cambogiani	erano	addestrati	in	Unione	Sovietica	;	alcuni	già	erano	tornati	a	casa	.																						
O	O	O	O	B	I	O	O	O	B	I	O	O	O	O	O	O	O	O																						
By	the	end	of	1990	,	unofficial	parliamentary	 clubs 	had	evolved	with	distinct	political	agendas	.																									
O	O	O	O	O	O	B	I	I	O	O	O	O	B	I	O																									
Con	la	fine	1990	i	        gruppi 	parlamentali	non	ufficiali	si	evolsero	con	diverse	agende	politiche	.																									
O	O	O	O	O	B	I	I	I	O	O	O	O	B	I	O																									
Finally	,	these	five	men	eliminated	Earthquake	.																																	
O	O	O	O	O	O	O	O																																	
Infine	,	questi	cinque	uomini	eliminarono	Terremoto	.																																	
O	O	O	O	O	O	O	O																																	
(	More	specific	terms	are	used	for	specific	bodies	.																															
O	O	O	O	O	O	O	B	I	O																															
(	Termini	più	specifici	sono	utilizzati	per	corpi	specifici	.																															
O	O	O	O	O	O	O	B	I	O																															
So	I	consider	LSD	to	be	of	some	value	to	some	people	,	and	practically	no	damage	to	anyone	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Così	considero	l'	LSD	di	qualche	valore	per	alcune	persone	,	e	praticamente	di	nessun	danno	a	nessuno	.																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
However	,	once	again	,	Benson	was	unavailable	.																																
O	O	O	O	O	O	O	O	O																																
Tuttavia	,	ancora	una	volta	,	Benson	non	era	disponibile	.																														
O	O	O	O	O	O	O	O	O	O	O																														
By	declaring	a	'	war	on	terror	'	after	September	11	,	we	set	the	wrong	agenda	for	the	world	.																				
O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	B	I	O	O	O	O																				
Dichiarando	una	        guerra           	al	terrorismo	dopo	l'	11	settembre	,	abbiamo	fissato	l'	agenda	sbagliata	per	il	mondo	.																						
O	O	B	I	I	O	O	O	O	O	O	O	O	B	I	O	O	O	O																						
This	was	the	first	of	two	visits	which	Nicolle	made	to	the	island	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Questa	fu	la	prima	delle	due	visite	che	Nicolle	fece	sull	 '	isola	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Monks	must	pass	through	the	institute	before	making	profession	.																															
O	O	O	O	O	O	O	O	O	O																															
I	monaci	devono	passare	attraverso	l'	istituto	prima	di	fare	la	professione	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
The	members	of	the	CNU	began	to	work	on	a	new	and	comprehensive	constitution	.																										
O	B	I	I	I	O	O	O	O	O	B	I	I	I	O																										
I	membri	del	CNU	hanno	iniziato	a	lavorare	su	una	nuova	e	completa	costituzione	.																										
O	B	I	I	O	O	O	O	O	O	B	I	I	I	O																										
The	independent	campaign	        Project       	Everyone	has	meet	some	resistence	.																															
O	B	I	I	I	O	O	O	O	O																															
La	campagna	indipendente	        Project       	Everyone	ha	incontrato	qualche	resistenza	.																															
O	B	I	I	I	O	O	O	O	O																															
Yuma	then	joins	the	five	.																																			
O	O	O	O	O	O																																			
Yuma	poi	si	unisce	ai	cinque	.																																		
O	O	O	O	O	O	O																																		
In	my	personal	life	I	prefer	'	she	'	.																															
O	O	B	I	O	O	O	O	O	O																															
Nella	mia	vita	privata	preferisco	'	lei	'	.																																
O	O	B	I	O	O	O	O	O																																
The	latter	replied	:	I	was 	lost 	in 	thoughts 	concerning 	the 	account 	of 	the 	Creation	.																									
O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																									
L'	altro	rispose	:	Ero	sovrappensiero	riguardo	il	racconto	della	Creazione	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Other	verbs	have	reflexive	forms	which	do	not	take	on	a	reflexive	meaning	,	such	as	ir	(	to	go	)	and	irse	(	to	go	away	)	.												
O	O	O	B	I	O	O	O	B	I	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O												
Altri	verbi	hanno	forme	riflessive	che	non	prendono	un	significato	riflessivo	,	come	ir	(	andare	)	e	irse	(	partire	)	.																		
O	O	O	B	I	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O																		
He	was	the	author	of	Hints	on	the	Study	of	the	Great	Composers	.																											
O	O	O	O	O	B	I	I	I	I	I	I	I	O																											
Lui 	era	l'	autore	di	Hints	on	the	Study	of	the	Great	Composers	.																											
O	O	O	O	O	B	I	I	I	I	I	I	I	O																											
Meanwhile	,	the	original	site	in	Crimea	remained	open	.																															
O	O	O	B	I	O	O	O	O	O																															
Nel	frattempo	,	il	sito	originale	in	Crimea	rimase	aperto	.																														
O	O	O	O	B	I	O	O	O	O	O																														
Molti	nemici	molto	onore	;	marcia	militare	?																																	
O	O	O	O	O	B	I	O																																	
Molti	nemici	molto	onore	;	marcia	militare	?																																	
O	O	O	O	O	B	I	O																																	
It	is	estimated	that	62	%	of	the	scientists	in	the	whole	country	are	living	and	working	in	Hanoi	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Si	stima	che	il	62	%	degli	scienziati	in	tutto	il	paese	viva	e	lavori	ad	Hanoi	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Only	Tarantino	can	do	this	,	and	he	’s	done	it	again	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Solo	Tarantino	poteva	,	e	c'	è	riuscito	di	nuovo	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Eighteen	months	later	,	the	Wynand	Building	is	under	construction	.																														
O	O	O	O	O	B	I	O	B	I	O																														
Diciotto	mesi	dopo	,	l'	edificio	Wynand	è	in	costruzione	.																														
O	O	O	O	O	B	I	O	B	I	O																														
He	and	his	group	represented	the	Western	Town	Company	.																															
O	O	O	O	O	O	B	I	I	O																															
Lui	e	il	suo	gruppo	rappresentavano	la	Western	Town	Company	.																														
O	O	O	O	O	O	O	B	I	I	O																														
He	urged	Mary	's	immediate	execution	in	1587	both	in	Parliament	and	in	the	council	.																									
O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O																									
Lui	esortò	l'	esecuzione	immediata	di	Mary	1587	sia	in	Parlamento	che	in 	consiglio	.																										
O	O	O	B	I	O	O	O	O	O	O	O	O	O	O																										
Married	people	,	however	,	are	advised	not	to	worship	Dhumavati	.																													
B	I	O	O	O	O	O	O	O	O	O	O																													
Le	persone	sposate	,	tuttavia	,	sono	consigliate	di	non	adorare	Dhumavati	.																												
O	B	I	O	O	O	O	O	O	O	O	O	O																												
But	if	not	,	at	least	eat	seven	days	out	of	the	year	.																											
O	O	O	O	B	I	O	O	O	O	O	O	O	O																											
Ma	se	non	ne	sei	capace	,	almeno	mangia	sette	giorni	l'	anno	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
By	February	8	,	Fort	Henry	was	completely	underwater	.																															
O	O	O	O	B	I	O	O	O	O																															
L'	8	di	febbraio	il	Forte	Henry	era	completamente	sott'	acqua	.																													
O	O	O	O	O	B	I	O	O	O	O	O																													
Until	1833	,	each	burgh	had	a	different	constitution	.																															
O	O	O	O	O	O	O	O	O	O																															
Fino	al	1833	,	ogni	burgh	aveva	una	differente	costituzione	.																														
O	O	O	O	O	O	O	O	O	O	O																														
It	remains	unclear	whether	Italy	offered	a	ransom	for	the	release	of	the	other	six	hostages	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Resta	non	chiaro	se	l'	Italia	pagò	un	riscatto	per	il	rilascio	degli	altri	sei	ostaggi	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
The	Tossers	on	their	album	Communication	&	Conviction	:	Last	Seven	Years	.																												
B	I	O	O	O	B	I	I	I	I	I	I	O																												
The	Tossers	nel	loro	album	Communication	&	Conviction	:	Last	Seven	Years	.																												
B	I	O	O	O	B	I	I	I	I	I	I	O																												
I	started	dreaming	that	concert	.																																			
O	O	O	O	O	O																																			
Ho	iniziato	a	sognare	quel	concerto	.																																		
O	O	O	O	O	O	O																																		
Who	would	wait	for	me	anxiously	in	my	native	place	?																														
O	O	O	O	O	O	O	O	B	I	O																														
Chi	mi	aspetterebbe	,	con	ansia	,	nel	mio	posto	nativo	?																													
O	O	O	O	O	O	O	O	O	B	I	O																													
I	need	to	study	all	that	material	and	then	talk	to	the	Irish	bishops	 .																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Ho	bisogno	di	studiare	tutto	quel	materiale	e	poi	di	parlare	con	i	vescovi	irlandesi	 .																									
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																									
He	is	not	only	cosmic	,	but	also	personal	.																															
O	O	O	O	O	O	O	O	O	O																															
Egli	non	è	solo	cosmico	ma	anche	personale	.																																
O	O	O	O	O	O	O	O	O																																
Integration	with	other	Google	products	.																																			
O	O	O	B	I	O																																			
Integrazione	con	altri	prodotti	Google	.																																			
O	O	O	B	I	O																																			
Another	version	,	Miss	Colita 	Petite	,	features	mainly	smaller	women	.																													
O	O	O	B	I	I	O	O	O	O	O	O																													
Un'	altra	versione	,	Miss	Colita 	Petite	,	presenta	principalmente	donne	più	piccole	.																											
O	O	O	O	B	I	I	O	O	O	O	O	O	O																											
A	continuous	stream	of	love	flows	from	me	to	all	of	creation	.																												
O	B	I	I	I	O	O	O	O	O	O	O	O																												
Un	continuo	flusso	di	amore	scorre	da	me	verso	tutta	la	creazione	.																												
O	B	I	I	I	O	O	O	O	O	O	O	O																												
Thank	you	for	all	my	missing	pieces	.																																	
O	O	O	O	O	B	I	O																																	
Grazie	per	tutti	i	miei	pezzi	mancanti	.																																	
O	O	O	O	O	B	I	O																																	
This	is	what	every	Soviet	man	wants	.																																	
O	O	O	O	B	I	O	O																																	
Questo	è	ciò	che	ogni	uomo	sovietico	vuole	.																																
O	O	O	O	O	B	I	O	O																																
In	2013	goes	to	Mexico	to	make	34	presentations	across	the	country	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Nel	2013	va	in	Messico	per	fare	34	presentazioni	in	tutto	il	paese	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
By	doing	so	,	Germany	violated	Articles	42	and	43	of	the	Treaty	of	Versailles	and	Articles	1	and	2	of	the	Treaty	of	Locarno	.															
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	B	I	I	O															
In	questo	modo	,	la	Germania	violò	gli	articoli	42	e	43	del	trattato	di	Versailles	e	gli	articoli	1	e	2	del	Patto	di	Locarno	.														
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	B	I	I	O														
In	1941	,	he	had	described	more	new	mammals	than	any	other	living	scientist	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Nel	1941	descrisse	più	nuovi	mammiferi	di	qualunque	altro	scienziato	vivente	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
It	is	at	the	lower	Kavod	that	man	can	attempt	to	understand	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
È	al	Kavod	inferiore	che	l'	uomo	può	tentare	di	capire	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
The	son	saw	this	there	.																																			
O	O	O	O	O	O																																			
Il	figlio	vide	questo	là	.																																			
O	O	O	O	O	O																																			
Remember	that	your	relatives	are	free	 .																																		
O	O	O	O	O	O	O																																		
Ricorda	che	i	tuoi	familiari	sono	liberi	.																																	
O	O	O	O	O	O	O	O																																	
In	his	1998	book	,	Vem	var	Bockstensmannen	?																																
O	O	O	O	O	B	I	I	O																																
Nel	suo	libro	1998	,	Vem	var	Bockstensmannen	?																																
O	O	O	O	O	B	I	I	O																																
Limiting	concentration	of	media	ownership	was	one	of	the	main	objectives	of	the	new	media	legislation	adopted	in	2003	.																					
O	O	O	B	I	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O																					
Limitare	la	concentrazione	della	proprietà	media	è	stato	uno	dei	principali	obiettivi	della	nuova	legislazione	sui	media	adottata	nel	2003	.																				
O	O	O	O	B	I	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O																				
They	also	brought	many	gifts	,	including	a	clock	(	 Horologium 	)	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Essi	portarono	anche	molti	doni	,	tra	cui	un	orologio	(	 horologium 	)	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Therefore	,	there	is	nothing	 magical 	about	the	number	seven	,	and	Miller	used	the	expression	only	rhetorically	.																						
O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																						
Pertanto	,	non	c'	è	nulla	di	 magico 	nel	numero	sette	,	e	Miller	usa	l'	espressione	solo	retoricamente	.																					
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																					
Do	not	forget	your	spirit	of	childhood	curiosity	.																																
O	O	O	O	O	O	B	I	O																																
Non	dimenticare	il	tuo	spirito	di	curiosità	infantile	.																																
O	O	O	O	O	O	B	I	O																																
Not	to	dwell	permanently	in	Egypt	The	king	must	not	have	too	many	wives	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Non	dimorare	permanentemente	in	Egitto	Il	re	non	deve	avere	troppe	mogli	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
When	Peter	died	,	Type	O	Negative	died	with	him	.																														
O	O	O	O	B	I	I	O	O	O	O																														
Quando	Peter	è	morto	,	i	Type	O	Negative	sono	morti	con	lui	.																											
O	O	O	O	O	O	B	I	I	O	O	O	O	O																											
The	result	,	however	,	was	a	black	community	more	motivated	to	resist	.																											
O	O	O	O	O	O	O	B	I	O	O	O	O	O																											
Il	risultato	,	tuttavia	,	era	una	comunità	nera	più	motivata	a	resistere	.																											
O	O	O	O	O	O	O	B	I	O	O	O	O	O																											
Nevertheless	,	this	sign	has	been	described	in	6	%	of	the	normal	population	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Tuttavia	,	questo	segno	è	stato	descritto	nel	6	%	della	popolazione	normale	.																											
O	O	O	O	O	O	O	O	O	O	O	B	I	O																											
They	might	as	well	have	named	him	Tyrone	.																																
O	O	O	O	O	O	O	O	O																																
Avrebbero	potuto	anche	chiamarlo	Tyrone	.																																			
O	O	O	O	O	O																																			
Once	the	Polish	question	is	settled	,	I	want	to	end	my	life	as	an	artist	.																								
O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Una	volta	che	la	questione	polacca	sarà	risolta	,	voglio	finire	la	mia	la	vita	come	un	artista	 .																						
O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O																						
However	,	the	socio	-	economic	elites	in	Canada	remain	dominated	by	people	of	British	origin	.																								
O	O	O	B	I	I	I	O	O	O	O	O	O	O	B	I	O																								
Tuttavia	,	le	élite	socio	-	economiche	in	Canada	rimangono	dominate	persone	di	origine	britannica	.																									
O	O	O	O	B	I	I	O	O	O	O	O	O	B	I	O																									
Only	one	person	can	defeat	Mother	–	the	Star	King	.																														
O	O	O	O	O	B	I	I	I	I	O																														
Solo	una	persona	può	sconfiggere	Madre	-	il	Re	delle	Stelle	.																													
O	O	O	O	O	B	I	I	I	I	I	O																													
The	first	manuscript	(	Codex	A	)	is	incomplete	.																															
O	B	I	O	B	I	O	O	O	O																															
Il	primo	manoscritto	(	Codex	A	)	è	incompleto	.																															
O	B	I	O	B	I	O	O	O	O																															
He	immediately	prepared	the	Deliberation	for	the	Great	Council	meeting	in	the	beginning	of	September	1362	on	this	issue	.																					
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O	O																					
Preparò	immediatamente	la	delibera	per	la	riunione	del	Gran	Consiglio	all'	inizio	di	settembre	1362	su	tale	questione	.																						
O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																						
Angelina	's	so	great	in	this	part	.																																	
O	O	O	O	O	O	O	O																																	
Angelina	è	grande	in	questa	parte	.																																		
O	O	O	O	O	O	O																																		
Independent	Poland	lasted	for	only	21	years	before	it	was	again	attacked	and	divided	among	foreign	powers	.																							
B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
La	Polonia	indipendente	durò	solo	21	anni	prima	che	fosse	di	nuovo	attaccata	e	divisa	tra	le	potenze	straniere	.																					
O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
At	the	same	time	,	it	is	important	to	emphasize	ESD	’s	importance	for	all	the	other	16	SDGs	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Allo	stesso	tempo	,	è	importante	sottolineare	l'	importanza	di	ESD	per	tutti	gli	altri	16	SDG.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
More	simply	,	they	are	the	eyes	and	ears	of	the	system	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Più	semplicemente	,	sono	gli	occhi	e	le	orecchie	del	sistema	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
They	said	that	,	from	the	Ukrainian	government	's	point	of	view	,	the	war	is	already	lost	.																						
O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O																						
Hanno	detto	che	,	dal	punto	di	vista	del	governo	ucraino	,	la	guerra	è	già	persa	.																							
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O																							
The	Panama	Papers	and	Power	.																																			
O	B	I	O	O	O																																			
I	Panama	Papers	e	il	Potere	.																																		
O	B	I	O	O	O	O																																		
In	the	same	way	,	he	will	recruit	the	next	member	of	the	corps	and	so	on	.																							
O	O	O	O	O	O	O	O	O	O	B	I	I	I	O	O	O	O																							
Allo	stesso	modo	,	avrebbe	reclutato	il	nuovo	membro	del	Corpo	,	e	così	via	.																									
O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O																									
To	this	Paavo	Berglund	answered	no	.	This	was	the	whole	conversation	.																												
O	O	B	I	O	O	O	O	O	O	O	O	O																												
A	questo	Paavo	Berglund	rispose	di	no	.	Questa	fu	tutta	la	conversazione	.																											
O	O	B	I	O	O	O	O	O	O	O	O	O	O																											
For	the	next	15	years	,	Iran	will	only	enrich	uranium	up	to	3,67	%	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Per	i	successivi	quindici	anni	l'	Iran	potrà	arricchire	l'	uranio	solo	del	3,67	%	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
He	also	claimed	that	about	80	%	of	those	on	whom	a	Taser	was	used	by	U.S.	police	were	unarmed	.																				
O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	B	I	O	O	O																				
Ha	anche	affermato	che	circa	l'	80	%	di	coloro	su	cui	un	Taser	era	stato	usato	dalla	polizia	degli	Stati	Uniti	era	disarmato	.																
O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O	O	O																
I	got	so	frightened	my	heart	fell	in	my	shoe	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Mi	spaventai	così	tanto	che	il	mio	cuore	cadde	nelle	scarpe	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
These	are	all	things	that	are	worth	keeping	in	mind	in	2017	,	just	as	they	were	many	decades	ago	.																				
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																				
Queste	sono	tutte	cose	che	vale	la	pena	tenere	a	mente	nel	2017	,	proprio	come	lo	erano	molti	decenni	fa	.																			
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																			
The	twenty-three	days	of	city	of	Alba	.																																	
O	O	O	O	B	I	I	O																																	
I	ventitré	giorni	città	di	Alba	.																																		
O	O	O	B	I	I	O																																		
These	little	people	,	after	all	,	want	only	what	nature	confers	:	equality	.																										
O	B	I	O	O	O	O	O	O	O	O	O	O	O	O																										
Questo	       piccolo	popolo	,	dopo	tutto	,	desidera	solo	ciò	che	la	natura	conferisce	:	l'	uguaglianza	.																							
O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
First	flown	on	11	May	1973	;	initially	sold	to	Kuwait	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Primo	volo	l'	11	maggio	1973	;	Inizialmente	venduta	al	Kuwait	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
In	particular	,	no	one	ever	moved	away	from	the	positional	numbering	system	until	2008	.																									
O	O	O	O	O	O	B	I	O	O	B	I	I	O	O	O																									
In	particolare	nessuno	si	discostò	mai	dal	sistema	di	numerazione	posizionale	fino	al	2008	.																										
O	O	O	O	O	O	O	B	I	I	I	O	O	O	O																										
Given	only	this	information	,	you	can	easily	reconstruct	the	first	column	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
Data	soltanto	quest'	informazione	puoi	facilmente	ricostruire	la	prima	colonna	.																														
O	O	O	O	O	O	O	O	B	I	O																														
In	Maharashtra	,	state	government	and	private	sector	inaugurates	and	launches	various	new	projects	and	schemes	on	1	May	.																					
O	O	O	B	I	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O																					
In	Maharashtra	,	il	Governo	ed	i	privati	inaugurano	e	lanciano	diversi	nuovi	progetti	e	programmi	il	1º	maggio	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Timofti	said	:	        The	European	orientation        	of        	Moldova        	must        	be        	a       	 priority        	.																												
O	O	O	O	B	I	O	O	O	O	O	O	O																												
Timofti	affermò	poi	:	L'  	orientamento	europeo 	della 	Moldavia	deve	essere 	una 	priorità	.																											
O	O	O	O	O	B	I	O	O	O	O	O	O	O																											
Bobby	and	myself	committed	the	same	crime	.																																	
O	O	O	O	O	O	O	O																																	
Bobby	ed	io	ci	siamo	macchiati	dello	stesso	crimine	.																															
O	O	O	O	O	O	O	O	O	O																															
He	always	takes	notes	about	whatever	Yui	says	regarding	humans	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Prende	sempre	appunti	su	ciò	che	Yui	dice	riguardo	gli	umani	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
However	,	the	report	did	not	directly	address	one	of	its	chief	goals	:	the	cause	of	the	Mukden	Incident	.																				
O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	B	I	O																				
